,ags2,ags5,kreis,median_income,purchasing_power_per_household,purchasing_power_per_person,debtor_quota,household_in_income_calss_1,household_in_income_calss_2,household_in_income_calss_3,household_in_income_calss_4,household_in_income_calss_5,household_in_income_calss_6
264,09,09375,Regensburg,3111,53958,24513,5.9,2324,8139,22147,17692,16039,21541
265,09,09376,Schwandorf,2965,47514,22741,7.2,6060,11660,21310,13396,9564,8386
266,09,09377,Tirschenreuth,2887,48605,23069,5.9,2270,7462,12517,5522,3556,3041
267,09,09461,Bamberg,3367,39374,21930,8.4,4043,8068,14844,7032,4333,4875
268,09,09462,Bayreuth,3137,38868,21814,9.8,6958,10208,13088,4969,3360,3306
269,09,09463,Coburg,3551,46794,26142,9.3,3843,4186,6506,3391,2351,2759
270,09,09464,Hof,2668,37150,20791,14.1,6348,6686,8340,1716,1285,1315
271,09,09471,Bamberg,2888,49557,23279,6.1,2065,7631,21842,15973,10507,11031
272,09,09472,Bayreuth,2849,49516,23358,6.4,4442,7875,15018,9162,6298,6064
273,09,09473,Coburg,2655,57386,27651,7.7,1992,5776,13929,8700,5568,5884
274,09,09474,Forchheim,3088,53587,24934,6.2,1729,5564,14273,11238,9535,11632
275,09,09475,Hof,2698,46128,23002,8.9,6126,9925,18452,5627,3960,3391
276,09,09476,Kronach,2745,48549,24138,6.9,2971,6428,12201,5539,3441,2771
277,09,09477,Kulmbach,2956,50559,24674,7.6,3675,6544,10601,5977,4070,4175
278,09,09478,Lichtenfels,2724,47934,22987,7.3,2968,6397,10171,5381,3847,3260
279,09,09479,Wunsiedel i.Fichtelgebirge,2887,44929,23183,9.2,5617,8993,13545,4111,2817,2632
280,09,09561,Ansbach,3171,40836,22095,10.5,4213,4214,6634,3426,1916,2229
281,09,09562,Erlangen,4633,43142,25082,6.8,5787,10142,21104,10914,7080,10038
282,09,09563,Fürth,3221,47119,24817,11.8,4982,9157,20315,14153,9394,9257
283,09,09564,Nürnberg,3470,42112,23026,11.9,43576,53731,77512,41196,29689,37643
284,09,09565,Schwabach,3011,54308,26940,8.1,1800,2418,5176,3738,2673,4410
285,09,09571,Ansbach,2865,53732,24153,6.1,4835,11430,25566,16986,12391,11420
286,09,09572,Erlangen-Höchstadt,3953,57524,26841,5.0,1527,4934,14807,12197,11552,18515
287,09,09573,Fürth,2862,54499,26478,6.5,2158,5780,15537,11031,8902,13595
288,09,09574,Nürnberger Land,3143,55044,26292,6.8,3241,8883,22362,16081,12880,17853
289,09,09575,Neustadt a.d.Aisch-Bad Windsheim,2765,52001,24062,6.8,2554,6635,14861,9642,6496,6204
290,09,09576,Roth,2975,55462,25280,5.7,1946,6025,15474,11961,9828,12592
291,09,09577,Weißenburg-Gunzenhausen,3029,51436,23685,7.1,2592,6742,13413,8885,6179,5629
292,09,09661,Aschaffenburg,3327,45977,25496,10.9,1977,4943,12070,8806,5772,5527
293,09,09662,Schweinfurt,3962,40033,21273,10.6,3179,8346,9092,3608,2213,2257
294,09,09663,Würzburg,3317,40925,24870,7.7,6309,17891,27473,11913,6880,7227
295,09,09671,Aschaffenburg,3070,51120,25285,7.1,2164,8600,25017,20108,14769,15465
296,09,09672,Bad Kissingen,2887,48266,23807,6.5,5878,9659,15773,8787,5565,5189
297,09,09673,Rhön-Grabfeld,3117,51891,23823,5.7,1599,6687,12862,6764,4566,4058
298,09,09674,Haßberge,3128,48733,22838,6.7,2211,7064,14223,7104,4663,4323
299,09,09675,Kitzingen,3064,52590,24299,6.7,1902,6823,13557,8541,5669,5464
300,09,09676,Miltenberg,3108,49679,23979,8.2,2434,8542,20330,13759,8884,8168
301,09,09677,Main-Spessart,3400,50524,24138,5.6,3344,9633,20081,11956,8165,7152
302,09,09678,Schweinfurt,2709,50545,23627,5.0,2578,8285,18456,10670,6834,6925
303,09,09679,Würzburg,2980,52198,25247,5.4,3441,9583,23014,16386,12152,13650
304,09,09761,Augsburg,3550,36686,20271,11.1,12468,32537,61517,27630,15192,13689
305,09,09762,Kaufbeuren,3064,45763,23258,10.8,2526,5125,6760,2826,2097,2959
306,09,09763,Kempten (Allgäu),3161,42412,22375,10.0,3251,7487,11701,5928,3621,4341
307,09,09764,Memmingen,3259,59085,29265,10.2,1058,2482,6758,4527,2929,3941
308,09,09771,Aichach-Friedberg,2973,57601,26187,5.6,2646,4873,12893,10456,11070,18755
309,09,09772,Augsburg,2922,55082,25780,6.5,2748,11335,31809,21805,18828,31133
310,09,09773,Dillingen a.d.Donau,3140,57603,25346,6.6,2369,5772,10647,8345,7013,8077
311,09,09774,Günzburg,3116,54761,24732,7.4,2616,8168,15952,11057,9023,9932
312,09,09775,Neu-Ulm,3392,51319,24834,7.3,5189,12206,23672,15193,12291,15712
313,09,09776,Lindau (Bodensee),3334,53011,27281,7.6,1899,4382,10928,7859,6828,10105
314,09,09777,Ostallgäu,3231,52358,25107,6.3,4076,8392,16455,11687,10814,15803
315,09,09778,Unterallgäu,3297,60441,27461,6.1,4051,6995,15103,12738,10743,15768
316,09,09779,Donau-Ries,3368,57645,25919,5.6,2530,7245,16893,12552,9634,11118
317,09,09780,Oberallgäu,2978,49376,25230,6.4,6889,11106,20213,11659,11504,17950
318,10,10041,Regionalverband Saarbrücken,3431,37046,19917,14.4,31031,44117,53073,24122,13716,11119
319,10,10042,Landkreis Merzig-Wadern,3028,41603,19630,9.2,6427,8929,14445,8090,6057,4767
320,10,10043,Landkreis Neunkirchen,3190,40151,20516,12.0,9728,17246,21407,8955,5722,4455
